gene,CELL-0,CELL-1,CELL-2,CELL-3,CELL-4,CELL-5,CELL-6,CELL-7,CELL-8,CELL-9,CELL-10,CELL-11,CELL-12,CELL-13,CELL-14
AADAC,6.2514604421867865,5.735790273417396,7.280845300886564,6.20980023430608,4.928661253677778,6.72319010981897,8.608000090260274,7.894161926258485,4.592529528386015,3.469157057907895,4.753451074925295,6.082651958694488,1.3499384507223313,5.562416672134908,3.5081781054938697
AADAT,4.5354652905930966,4.91148203428538,5.367399687261691,6.823261072748266,8.085026738885356,5.742930674111932,8.732926941099372,4.669610653026773,6.703020140186039,7.806940363303617,6.188024595521749,4.513001501292383,4.156549247483161,5.084548348665321,6.440390246940098
AAK1,3.980763632922528,5.581648850256574,5.681549980171044,7.081691169371616,6.429318245012682,6.710745418079843,4.692342781163321,5.740772732614461,7.567950940122659,8.986862290441522,3.4818689357917596,9.027847549478125,8.69175084756461,7.562622801400855,6.528911260658607
AARS,5.372154370927144,8.916041367073918,9.920516632899929,9.60326973973225,8.63020752946874,6.7147608213179115,3.583362735435657,5.991091733759833,7.312949870152671,3.423277072500891,6.790244120364017,6.85972738964446,7.392085447925737,3.631764066485622,4.67659485592193
AASDHPPT,5.127129505713557,3.660396184454272,9.478735754260267,5.008178543115696,6.657939258920404,5.482854909052152,9.166945757604244,8.640721974163679,7.26670524564983,1.5929802387066987,6.104057948519773,7.367372381553069,8.00792315168434,4.764185910584798,9.644022726656647
ABAT,3.359138059973413,4.676943956369562,7.870099976228044,6.098109227650624,10.00478516729051,6.377038385024931,4.733611819615547,5.244872989534383,3.817707764761609,3.444639667226784,7.260822981536464,7.162331624825612,8.589117638882234,4.490788417480138,9.378214904887347
ABCA1,5.425224584382668,9.148816557689173,5.134428305634806,4.52903341531545,6.499570743117333,8.062906169738945,6.3220191534306895,4.8289423517533265,3.317560571846662,3.196959570165144,7.005365699749731,7.97942606657161,5.671410814749419,3.8512702835431307,7.746084305243413
ABCB1,3.4392121105708537,4.5738638098814555,7.242035707080197,1.4997176528508165,6.772739195132612,4.836718327180994,6.218559394955628,5.848596947558354,6.404228790087919,7.3883438734140165,4.483260498203181,8.841964044623833,7.45218757789553,7.687465324606536,8.329727962222057
ABCB11,7.575176443411738,7.6881573611571845,6.15118722148577,3.1464522980205354,5.729909799925972,4.460970719646589,3.154516462969173,6.516905581825975,4.862901091704715,3.9403911239770726,3.913997839856869,6.536834159417829,6.717343898340689,8.644914939533667,5.972170662951813
ABCB4,8.083679518425644,8.804529653545044,8.300331272299385,1.2693921874460514,8.457367438406841,6.679240016497285,6.847542705706695,6.742454835472517,6.765514320541522,6.638828440504762,5.282173382922759,2.196729403248011,5.782170544185154,4.392536302958646,8.16032682507577
ABCB5,5.422466988009245,6.16695071221402,4.300788088779714,4.978755064203747,5.976933876626826,3.0292496314729096,6.601370228589212,5.787855493104498,3.6285603899895325,1.2035342692044573,7.02610426776061,5.404831922113339,4.939983173563683,5.527690740294116,9.632951881762288
ABCB6,5.900398061880714,6.173238525977085,3.025854260649204,9.2946781327122,7.834975966888589,8.133869734010357,6.095345462423359,7.8333095776491914,6.74189367018882,7.226378155718012,5.695614083183419,3.052224103916082,8.057708695606365,2.130080726780586,5.520126657483928
ABCB9,5.590955023200678,3.9142797180309907,7.226246272673159,5.599340597180864,5.126263348805437,7.039683461955282,5.046841918883173,8.777959949676617,6.702910152374628,5.051334026331121,2.1114700480289117,3.384493606197705,8.173661569536726,5.8987918737773155,5.4337498686409305
ABCC1,9.286503228485394,3.4347015118522033,4.8286844003172815,5.0548246464830315,7.172674563062601,4.672929603391906,4.773164302771944,2.789701206229773,7.458698808035713,7.612278717030044,5.047246505197676,6.326679891082597,3.414707754481317,5.056373690518196,8.755901905445043
ABCC10,6.271461468134269,10.620726973591776,4.425614515685685,7.160568833448615,5.608988344333795,7.131635693656186,5.985577280682487,4.8776037791816815,4.2647664713565945,12.132073478097794,5.845309880551568,1.9666786195335098,4.70279878419333,7.356079454247994,4.999983133630503
ABCC11,8.720892404970515,8.004796545687915,5.695322728351528,5.055568114447913,3.990397985944607,4.60006691537335,3.05371385066875,8.40879258306617,9.181401574252124,3.487723860544534,3.6366340486270734,2.462976285826166,4.0722915385356515,-0.21267360256658296,3.715442086736161
